,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace
0,04-11-0459-43,-0.752,-1.561,C017HUM,4,1,0,0,0,0,0,-0.6063509740165187,-1.8862793171325323,2.0600858993872193
1,04-11-0459-43,0.488,-1.536,C017QTY,5,1,1,0,0,0,0,0.39348307888306,-1.856069846967053,1.3314985078158583
2,04-11-0470-43,0.766,-0.581,C093LPG,9,1,1,1,1,1,1,0.8358582944301088,-1.1542998119357806,0.5225290061455589
3,04-11-0459-43,1.595,0.633,C095EUA,7,1,1,1,1,0,0,1.286076866431313,0.7649037845899378,-1.1525468135111665
4,04-11-0471-43,-0.467,0.254,C117NCP,9,1,1,1,1,1,1,-1.3258755922080339,0.45169249570104697,0.9164172831078152
5,04-11-0471-43,-0.042,-0.279,C117PCP,9,1,1,1,1,1,1,-0.11924362927781032,-0.4961504185062682,0.7328999187104447
6,04-11-0459-43,1.595,0.921,C117ZCJ,9,1,1,1,1,1,1,1.286076866431313,1.1129168808962604,-1.3985442729510342
7,04-11-0470-43,1.191,0.925,C131CXA,9,1,1,1,1,1,1,1.299617791992506,1.8377406644416474,-1.920473318178067
8,04-11-0459-43,-0.684,-0.928,C219FXH,5,1,1,0,0,0,0,-0.5515213646639612,-1.1213755325425945,1.4806202137380633
9,04-11-0470-43,1.32,0.0,C293CQN,8,1,1,1,1,1,0,1.440382439487916,0.0,-0.7210130723570929
10,04-11-0470-43,1.908,0.525,C318MDG,9,1,1,1,1,1,1,2.082007344350715,1.0430419987371513,-1.9121544113819926
11,04-11-0471-43,-0.209,-0.088,C319GBH,9,1,1,1,1,1,1,-0.5933790123586276,-0.15649188827437846,0.8281880459131621
12,04-11-0470-43,0.885,-0.007,C362BFV,9,1,1,1,1,1,1,0.9657109537475801,-0.013907226649828684,-0.3754233046861873
13,04-11-0459-43,1.007,0.385,C417EYF,4,1,0,0,0,0,0,0.8119620090886094,0.4652258405483824,-0.6053501308514369
14,04-11-0459-43,-0.752,-0.436,C447PLV,5,1,1,0,0,0,0,-0.6063509740165187,-0.5268531596859604,1.0991583234502365
15,04-11-0459-43,2.038,0.122,C476NXT,4,1,0,0,0,0,0,1.6432756450075332,0.14742221440753936,-0.9687370064532201
16,04-11-0459-43,2.238,0.763,C518UIX,7,1,1,1,1,0,0,1.8045392019268203,0.9219930294504306,-1.6303220958307278
17,04-11-0459-43,0.375,-2.024,C717CXP,6,1,1,1,0,0,0,0.3023691692236629,-2.4457587045972105,1.8127770357746213
18,04-11-0459-43,2.085,1.322,C739FTF,6,1,1,1,0,0,0,1.6811725808835658,1.5974767823505496,-2.0205328497663677
19,04-11-0459-43,1.542,-0.369,C798RCT,9,1,1,1,1,1,1,1.243342023847702,-0.4458917796424756,-0.26645212624628584
20,04-11-0459-43,-0.545,-0.226,C824FSS,4,1,0,0,0,0,0,-0.4394431926050568,-0.2730936102959336,0.8017228185178371
21,04-11-0459-43,4.259,0.816,C824NBF,4,1,0,0,0,0,0,3.4341074445962145,0.9860371062012468,-2.8282689077861383
22,04-11-0470-43,0.948,0.688,C824PBD,9,1,1,1,1,1,1,1.0344564792685942,1.3668817050117332,-1.4000786322294108
23,04-11-0459-43,2.775,0.763,C870LSQ,9,1,1,1,1,1,1,2.2375318522551058,0.9219930294504306,-1.936599805670222
24,04-11-0471-43,-0.467,-0.43,C918IFC,9,1,1,1,1,1,1,-1.3258755922080339,-0.764676272249804,1.7762229336242932
25,04-11-0459-43,-0.832,-0.969,C918MAY,5,1,1,0,0,0,0,-0.6708563967842335,-1.1709190636139806,1.6000524192049457
26,04-11-0470-43,0.031,0.254,C919YHU,5,1,1,0,0,0,0,0.03382716335161015,0.504633652722355,-0.08279171376102401
27,04-11-0459-43,1.007,-0.59,C958WNC,4,1,0,0,0,0,0,0.8119620090886094,-0.7129434959053133,0.2274537682939483
28,04-11-0459-43,0.191,0.134,C973KNY,9,1,1,1,1,1,1,0.15400669685791898,0.16192276008696949,0.07444872337653546
29,04-11-0459-43,-0.605,0.046,C990QJT,9,1,1,1,1,1,1,-0.48782225968084286,0.055585425104482056,0.6036128577688304
30,04-11-0470-43,1.262,0.515,D029TLV,9,1,1,1,1,1,1,1.3770929080558711,1.023174532094539,-1.3994890309006276
31,04-11-0459-43,0.075,-0.918,D056QJV,8,1,1,1,1,1,0,0.06047383384473258,-1.1092917444764028,1.0391833247300273
32,04-11-0470-43,0.885,0.775,D070GGF,9,1,1,1,1,1,1,0.9657109537475801,1.5397286648024613,-1.4736304878303865
33,04-11-0470-43,2.238,0.688,D077DTL,9,1,1,1,1,1,1,2.442102954222694,1.3668817050117332,-2.3957785321831513
34,04-11-0470-43,1.191,0.378,D095SAB,6,1,1,1,0,0,0,1.299617791992506,0.7509902390907489,-1.152290032781805
35,04-11-0459-43,1.32,-0.226,D136TKR,9,1,1,1,1,1,1,1.0643394756672935,-0.2730936102959336,-0.2619790974051737
36,04-11-0459-43,0.534,0.525,D142RPP,7,1,1,1,1,0,0,0.43057369697449605,0.634398873475067,-0.45515689072828613
37,04-11-0459-43,0.262,0.0,D156UGS,6,1,1,1,0,0,0,0.21125525956426583,0.0,0.14841105639676114
38,04-11-0470-43,3.105,0.657,D228DXU,9,1,1,1,1,1,1,3.388172329249984,1.305292558419635,-3.021446420836079
39,04-11-0459-43,-0.911,-1.031,D230VRZ,5,1,1,0,0,0,0,-0.7345555017673518,-1.2458385496243694,1.6980678202812642
40,04-11-0471-43,-0.752,-0.138,D259IWF,9,1,1,1,1,1,1,-2.1350287908788896,-0.24540773388482082,1.9815265838762166
41,04-11-0470-43,-0.412,-0.286,D288SZI,7,1,1,1,1,0,0,-0.4495739129310768,-0.5682095459787148,1.0174952242429252
42,04-11-0459-43,-0.335,-0.146,D340RAN,5,1,1,0,0,0,0,-0.27011645783980553,-0.17642330576639956,0.6136167848131678
43,04-11-0459-43,0.885,-0.299,D354VFQ,9,1,1,1,1,1,1,0.7135912393678445,-0.36130526317913336,0.04847648075664407
44,04-11-0459-43,0.488,-1.109,D379DMI,9,1,1,1,1,1,1,0.39348307888306,-1.340092096540665,0.9667731078824434
45,04-11-0470-43,0.147,0.656,D456XJE,9,1,1,1,1,1,1,0.16040622621569972,1.3033058117553737,-0.7368790374188311
46,04-11-0459-43,2.735,0.378,D467YBA,9,1,1,1,1,1,1,2.205279140871248,0.4567671889020482,-1.584935053127505
47,04-11-0470-43,0.147,-0.519,D547MVL,4,1,0,0,0,0,0,0.16040622621569972,-1.0311215187515839,0.9132404513208547
48,04-11-0471-43,-0.042,-0.014,D551IGQ,6,1,1,1,0,0,0,-0.11924362927781032,-0.02489643677092385,0.39978808042555186
49,04-11-0470-43,1.007,0.657,D558QCH,9,1,1,1,1,1,1,1.0988372095184327,1.305292558419635,-1.4020833277330182
50,04-11-0470-43,2.466,0.921,D675EZD,9,1,1,1,1,1,1,2.690896284679698,1.8297936777846024,-2.898977884271619
51,04-11-0471-43,-0.832,-1.235,D755CGK,8,1,1,1,1,1,0,-2.3621595133128137,-2.196221386577925,3.521144996431743
52,04-11-0459-43,-0.087,-0.754,D852UCL,9,1,1,1,1,1,1,-0.0701496472598898,-0.9111176201908581,0.9914980656538916
53,04-11-0459-43,0.031,-0.969,D862VCU,5,1,1,0,0,0,0,0.02499585132248947,-1.1709190636139806,1.1078407551612144
54,04-11-0470-43,1.007,0.0,D983FVL,5,1,1,0,0,0,0,1.0988372095184327,0.0,-0.47942077105048736
55,04-11-0459-43,0.649,0.921,E144ATR,4,1,0,0,0,0,0,0.523300242203086,1.1129168808962604,-0.8589935960270835
