,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace,LastGrade_aux,y_pred,PrecisionLastGrade_4,RecallLastGrade_4,F1LastGrade_4,predLastGrade_4,PrecisionLastGrade_5,RecallLastGrade_5,F1LastGrade_5,predLastGrade_5,PrecisionLastGrade_6,RecallLastGrade_6,F1LastGrade_6,predLastGrade_6,PrecisionLastGrade_7,RecallLastGrade_7,F1LastGrade_7,predLastGrade_7,PrecisionLastGrade_8,RecallLastGrade_8,F1LastGrade_8,predLastGrade_8,PrecisionLastGrade_9,RecallLastGrade_9,F1LastGrade_9,predLastGrade_9
0,12-09-0413-43,-0.467,-0.754,E030DRX,3,0,0,0,0,0,0,-1.143809036556751,-0.9936508982407399,1.812336792787947,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
1,13-17-0020-43,-0.605,-1.098,C590DHC,3,0,0,0,0,0,0,-0.7611362168605628,-1.0629555851345944,1.597012872495832,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
2,13-17-0830-43,-0.832,-0.436,C823VQI,3,0,0,0,0,0,0,-1.3996000011723055,-1.5180414431457607,2.367599699177749,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
3,20-03-0510-43,-0.285,0.122,E440TYV,3,0,0,0,0,0,0,-0.41728016423808884,0.09413146480653176,0.5246973477628769,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
4,14-09-0342-43,-0.605,-0.741,D177MLH,3,0,0,0,0,0,0,-0.7169389227094246,-0.6025730008201581,1.2345621867215408,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
5,09-21-0670-43,-1.276,0.265,C320NGP,3,0,0,0,0,0,0,-2.737676017618809,0.4471797773855656,1.8787742414578592,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
6,16-05-0283-43,-0.467,-1.809,C418MNZ,3,0,0,0,0,0,0,-0.29484740747536625,-0.8213247524416599,1.0996239873943237,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
7,07-17-0354-43,-0.605,-3.42,C324BAZ,3,0,0,0,0,0,0,-0.9215971917483342,-9.582244001800557,7.848371431207921,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
8,14-09-0328-43,-0.162,0.177,E441ECD,3,0,0,0,0,0,0,-0.2825697679687496,0.32254873854705246,0.2666865916454502,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
9,16-05-0283-43,-1.165,-2.176,C515TXB,3,0,0,0,0,0,0,-0.7355401064428302,-0.9879506143245175,1.5252108068036314,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
10,13-17-0844-43,-0.467,-1.56,D932RYK,3,0,0,0,0,0,0,-0.960763461747166,-1.7782986298815169,2.250967920286924,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
11,13-17-0830-43,-0.285,-1.176,E431TES,3,0,0,0,0,0,0,-0.47943028886310946,-4.094533800778474,3.5866862682392426,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
12,16-05-2792-43,-1.276,-0.286,C919AYT,3,0,0,0,0,0,0,-2.029558388463993,-0.5421498234296253,2.1009390347173813,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
13,17-03-3829-43,0.147,1.35,C910FYM,3,0,0,0,0,0,0,0.12936382897762522,2.476159130590537,-1.5710476008738066,0,1,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,1,0.54,0.14,0.22,1
14,03-10-1159-43,-0.285,-0.754,C987KAR,3,0,0,0,0,0,0,-0.2934666678597208,-1.3863801081232578,1.5059203851524305,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
15,09-09-0056-43,-0.162,-1.098,C371IHX,3,0,0,0,0,0,0,-0.28384021085348365,-1.7190535623860848,1.7390156379550938,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
16,12-15-0703-43,0.534,-0.154,C197APA,3,0,0,0,0,0,0,1.4138263402939228,-0.1370243662005195,-0.5780493017425237,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,0,0.54,0.14,0.22,0
17,13-06-0039-43,-0.545,-1.685,C217FMJ,3,0,0,0,0,0,0,-1.5742309861148263,-1.0041494235479125,2.1182778016449864,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
18,06-09-0262-43,1.398,0.394,C923KQF,3,0,0,0,0,0,0,2.607234528594313,0.6661640374548371,-1.9842198682562318,0,1,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,1,0.54,0.14,0.22,1
19,12-15-3252-43,-0.752,-1.031,C354EXQ,3,0,0,0,0,0,0,-1.3308594818001989,-0.9328628773532402,1.8981908413772417,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
20,04-09-0441-43,0.262,0.515,D371RWN,3,0,0,0,0,0,0,0.244674347199779,1.0136337422627284,-0.5968934036777817,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,0,0.54,0.14,0.22,0
21,04-06-0320-43,-0.684,-0.847,C419DPN,3,0,0,0,0,0,0,-1.1120827144164829,-1.2528171729936397,1.9771331312660163,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
