Cod_Estab,measure_L,measure_M
04-11-0459-43,-0.752,-1.561
04-11-0459-43,0.488,-1.536
04-11-0470-43,0.766,-0.581
04-11-0459-43,1.595,0.633
04-11-0471-43,-0.467,0.254
04-11-0471-43,-0.042,-0.279
04-11-0459-43,1.595,0.921
04-11-0470-43,1.191,0.925
04-11-0459-43,-0.684,-0.928
04-11-0470-43,1.32,0.0
04-11-0470-43,1.908,0.525
04-11-0471-43,-0.209,-0.088
04-11-0470-43,0.885,-0.007
04-11-0459-43,1.007,0.385
04-11-0459-43,-0.752,-0.436
04-11-0459-43,2.038,0.122
04-11-0459-43,2.238,0.763
04-11-0459-43,0.375,-2.024
04-11-0459-43,2.085,1.322
04-11-0459-43,1.542,-0.369
04-11-0459-43,-0.545,-0.226
04-11-0459-43,4.259,0.816
04-11-0470-43,0.948,0.688
04-11-0459-43,2.775,0.763
04-11-0471-43,-0.467,-0.43
04-11-0459-43,-0.832,-0.969
04-11-0470-43,0.031,0.254
04-11-0459-43,1.007,-0.59
04-11-0459-43,0.191,0.134
04-11-0459-43,-0.605,0.046
04-11-0470-43,1.262,0.515
04-11-0459-43,0.075,-0.918
04-11-0470-43,0.885,0.775
04-11-0470-43,2.238,0.688
04-11-0470-43,1.191,0.378
04-11-0459-43,1.32,-0.226
04-11-0459-43,0.534,0.525
04-11-0459-43,0.262,0.0
04-11-0470-43,3.105,0.657
04-11-0459-43,-0.911,-1.031
04-11-0471-43,-0.752,-0.138
04-11-0470-43,-0.412,-0.286
04-11-0459-43,-0.335,-0.146
04-11-0459-43,0.885,-0.299
04-11-0459-43,0.488,-1.109
04-11-0470-43,0.147,0.656
04-11-0459-43,2.735,0.378
04-11-0470-43,0.147,-0.519
04-11-0471-43,-0.042,-0.014
04-11-0470-43,1.007,0.657
04-11-0470-43,2.466,0.921
04-11-0471-43,-0.832,-1.235
04-11-0459-43,-0.087,-0.754
04-11-0459-43,0.031,-0.969
04-11-0470-43,1.007,0.0
04-11-0459-43,0.649,0.921
04-11-0470-43,0.075,-0.369
04-11-0471-43,-0.605,0.385
04-11-0471-43,0.375,-1.303
04-11-0471-43,-0.209,-0.677
04-11-0459-43,1.007,-0.012
04-11-0471-43,0.191,-0.754
04-11-0471-43,0.031,-0.288
04-11-0471-43,-0.684,-1.536
04-11-0470-43,-0.335,-0.581
04-11-0471-43,-0.285,-0.426
